N	L	T	lambda	K	h	b	Cost	s0	S0
30	0	0	6	100	1	9	1026.762121	2	36
30	0	1	6	100	1	9	828.9099913	-4	30
30	1	0	6	100	1	9	1068.752408	8	42
30	1	1	6	100	1	9	852.2186102	2	36
30	1	2	6	100	1	9	689.6797756	-3	31
30	2	0	6	100	1	9	1161.22911	14	50
30	2	1	6	100	1	9	897.1127788	8	44
30	2	2	6	100	1	9	709.8523486	3	40
30	3	0	6	100	1	9	1303.022621	20	57
30	3	1	6	100	1	9	991.0675169	15	52
30	3	2	6	100	1	9	754.1140963	9	47
30	4	0	6	100	1	9	1496.598059	27	63
30	4	1	6	100	1	9	1136.494627	21	58
30	4	2	6	100	1	9	850.5180939	16	52
