N	L	T	lambda	K	h	b	Cost	s0	S0
12	0	0	6	100	1	9	420.1955945	2	36
12	0	1	6	100	1	9	324.8601179	-4	31
12	1	0	6	100	1	9	449.040063	8	40
12	1	1	6	100	1	9	333.6984128	3	34
12	1	2	6	100	1	9	262.4399217	-3	29
12	2	0	6	100	1	9	533.2576595	15	44
12	2	1	6	100	1	9	369.6173657	10	38
12	2	2	6	100	1	9	269.9102948	4	33
12	3	0	6	100	1	9	672.7170751	20	48
12	3	1	6	100	1	9	460.7811845	14	42
12	3	2	6	100	1	9	312.3681941	8	37
12	4	0	6	100	1	9	851.0222375	26	70
12	4	1	6	100	1	9	590.9407757	20	64
12	4	2	6	100	1	9	389.8756163	14	59
