N	L	T	lambda0	lambda1	lambda2	K	h	b	Cost_AP	s_AP	S_AP	Sigma	sigma	Simu_AP	Simu_PL_0	Simu_PL_s	Simu_PL_S
12	1	2	0	1	5	50	1	9	176.3758862	-1	26	0	0	176.303	176.303	176.303	176.303
12	1	2	0	1	5	50	1	19	191.2608101	0	24	0	0	191.20114	191.20114	191.20114	191.20114
12	1	2	0	1	5	50	1	29	193.8968672	0	24	0	0	193.82156	193.82156	193.82156	193.82156
12	1	2	0	1	5	50	3	9	220.8712549	-2	16	0	0	220.87218	220.87218	220.87218	220.87218
12	1	2	0	1	5	50	3	19	241.3744735	-1	16	0	0	241.35782	241.35782	241.35782	241.35782
12	1	2	0	1	5	50	3	29	248.9621211	0	16	0	0	249.08747	249.08747	249.08747	249.08747
12	1	2	0	1	5	50	5	9	240.0235156	-2	13	0	0	240.13309	240.13309	240.13309	240.13309
12	1	2	0	1	5	50	5	19	262.9019669	-1	13	0	0	262.76721	262.76721	262.76721	262.76721
12	1	2	0	1	5	50	5	29	272.9179181	0	13	0	0	272.93147	272.93147	272.93147	272.93147
12	1	2	0	1	5	100	1	9	278.5335442	-2	30	0	0	278.59234	278.59234	278.59234	278.59234
12	1	2	0	1	5	100	1	19	296.8046617	-1	31	0	0	296.76895	296.76895	296.76895	296.76895
12	1	2	0	1	5	100	1	29	304.2078252	0	32	0	0	304.14581	304.14581	304.14581	304.14581
12	1	2	0	1	5	100	3	9	362.2347816	-3	18	0	0	362.29712	362.29712	362.29712	362.29712
12	1	2	0	1	5	100	3	19	393.2318905	-1	19	0	0	393.3761	393.3761	393.3761	393.3761
12	1	2	0	1	5	100	3	29	410.9397549	-1	19	0	0	410.75748	410.75748	410.75748	410.75748
12	1	2	0	1	5	100	5	9	395.7120464	-3	16	0	0	395.71149	395.71149	395.71149	395.71149
12	1	2	0	1	5	100	5	19	430.6526801	-2	17	0	0	430.4563	430.4563	430.4563	430.4563
12	1	2	0	1	5	100	5	29	451.2997385	-1	17	0	0	451.19545	451.19545	451.19545	451.19545
12	1	2	0	1	5	200	1	9	418.6909533	-5	58	0	0	418.80343	418.80343	418.80343	418.80343
12	1	2	0	1	5	200	1	19	454.1397938	-2	61	0	0	454.15936	454.15936	454.15936	454.15936
12	1	2	0	1	5	200	1	29	474.8885731	-1	62	0	0	474.97062	474.97062	474.97062	474.97062
12	1	2	0	1	5	200	3	9	567.395122	-5	26	0	0	567.46687	567.46687	567.46687	567.46687
12	1	2	0	1	5	200	3	19	612.054405	-2	28	0	0	612.02415	612.02415	612.02415	612.02415
12	1	2	0	1	5	200	3	29	637.6474072	-2	29	0	0	637.64976	637.64976	637.64976	637.64976
12	1	2	0	1	5	200	5	9	624.1099279	-7	22	0	0	623.98396	623.98396	623.98396	623.98396
12	1	2	0	1	5	200	5	19	697.0983755	-3	21	0	0	696.92322	696.92322	696.92322	696.92322
12	1	2	0	1	5	200	5	29	734.0618657	-2	20	0	0	734.54801	734.54801	734.54801	734.54801
12	1	2	1	1	4	50	1	9	209.7121632	0	26	5	2	209.83859	223.06472	214.30423	218.1574
12	1	2	1	1	4	50	1	19	228.4240946	2	25	5	3	228.28626	254.65503	233.64824	237.10991
12	1	2	1	1	4	50	1	29	242.4715113	3	25	5	3	242.47613	279.63905	248.25613	251.48649
12	1	2	1	1	4	50	3	9	270.5632167	0	16	5	1	270.61968	290.79075	284.92401	305.75277
12	1	2	1	1	4	50	3	19	298.2776351	1	17	5	2	298.09333	339.23118	316.58728	334.96374
12	1	2	1	1	4	50	3	29	316.7445313	2	17	5	2	316.80008	378.79744	337.96395	354.48325
12	1	2	1	1	4	50	5	9	296.5486598	0	13	5	1	296.65829	319.76696	318.02667	357.97952
12	1	2	1	1	4	50	5	19	329.0818522	1	14	5	2	329.05592	378.09853	360.9229	395.62816
12	1	2	1	1	4	50	5	29	350.5733534	2	14	5	2	350.36528	424.31615	386.62445	420.13181
12	1	2	1	1	4	100	1	9	315.5703962	0	32	5	2	315.63734	325.93955	319.06548	322.24354
12	1	2	1	1	4	100	1	19	338.236779	1	34	5	3	338.10043	357.24388	341.82598	344.59353
12	1	2	1	1	4	100	1	29	354.0444249	2	34	5	3	354.00328	381.35086	357.92317	360.47285
12	1	2	1	1	4	100	3	9	420.787859	-1	19	5	1	420.82343	434.65049	430.54058	444.9503
12	1	2	1	1	4	100	3	19	465.0103511	1	21	5	2	465.14802	499.08392	479.71797	494.77395
12	1	2	1	1	4	100	3	29	487.839541	1	21	5	2	487.8613	537.92748	504.23632	517.68527
