N	L	T	lambda0	lambda1	lambda2	K	h	b	Cost_AP	s0_AP	S0_AP	s1_AP	S1_AP	s2_AP	S2_AP	s3_AP	S3_AP	s4_AP	S4_AP	s5_AP	S5_AP	s6_AP	S6_AP	s7_AP	S7_AP	s8_AP	S8_AP	s9_AP	S9_AP	s10_AP	S10_AP	s11_AP	S11_AP	s12_AP	S12_AP	s13_AP	S13_AP	s14_AP	S14_AP	s15_AP	S15_AP	s16_AP	S16_AP	s17_AP	S17_AP	s18_AP	S18_AP	s19_AP	S19_AP	s20_AP	S20_AP	Sigma	sigma	Simu_AP	Simu_PL_0	Simu_PL_s	Simu_PL_S
12	0	2	0	1	5	50	1	9	171.6209251	-2	16	-3	16	-4	16	-5	16	-6	16	-7	16	-8	16	-9	16	-10	16	-11	16	-12	16	-13	16	-14	16	-15	16	-16	16	-17	16	-18	16	-19	16	-20	16	-21	16	-22	16	0	0	171.5732	171.5732	171.5732	171.5732
12	0	2	0	1	5	50	1	19	179.2393151	-1	16	-2	16	-3	16	-4	16	-5	16	-6	16	-7	16	-8	16	-9	16	-10	16	-11	16	-12	16	-13	16	-14	16	-15	16	-16	16	-17	16	-18	16	-19	16	-20	16	-21	16	0	0	179.1957	179.1957	179.1957	179.1957
12	0	2	0	1	5	50	1	29	180.1319974	-1	16	-2	16	-3	16	-4	16	-5	16	-6	16	-7	16	-8	16	-9	16	-10	16	-11	16	-12	16	-13	16	-14	16	-15	16	-16	16	-17	16	-18	16	-19	16	-20	16	-21	16	0	0	180.09449	180.09449	180.09449	180.09449
12	0	2	0	1	5	50	3	9	210.9754871	-3	9	-4	9	-5	9	-6	9	-7	9	-8	9	-9	9	-10	9	-11	9	-12	9	-13	9	-14	9	-15	9	-16	9	-17	9	-18	9	-19	9	-20	9	-21	9	-22	9	-23	9	0	0	211.00784	211.00784	211.00784	211.00784
12	0	2	0	1	5	50	3	19	223.4641124	-2	9	-2	9	-3	9	-4	9	-5	9	-6	9	-7	9	-8	9	-9	9	-10	9	-11	9	-12	9	-13	9	-14	9	-15	9	-16	9	-17	9	-18	9	-19	9	-20	9	-21	9	0	0	223.47377	223.47377	223.47377	223.47377
12	0	2	0	1	5	50	3	29	226.1283253	-1	9	-2	9	-3	9	-4	9	-5	9	-6	9	-7	9	-8	9	-9	9	-10	9	-11	9	-12	9	-13	9	-14	9	-15	9	-16	9	-17	9	-18	9	-19	9	-20	9	-21	9	0	0	226.15166	226.15166	226.15166	226.15166
12	0	2	0	1	5	50	5	9	227.4804279	-3	7	-4	7	-5	7	-6	7	-7	7	-8	7	-9	7	-10	7	-11	7	-12	7	-13	7	-14	7	-15	7	-16	7	-17	7	-18	7	-19	7	-20	7	-21	7	-22	7	-23	7	0	0	227.50782	227.50782	227.50782	227.50782
12	0	2	0	1	5	50	5	19	240.374039	-2	7	-3	7	-4	7	-5	7	-6	7	-7	7	-8	7	-9	7	-10	7	-11	7	-12	7	-13	7	-14	7	-15	7	-16	7	-17	7	-18	7	-19	7	-20	7	-21	7	-22	7	0	0	240.36292	240.36292	240.36292	240.36292
12	0	2	0	1	5	50	5	29	243.401059	-1	7	-2	7	-3	7	-4	7	-5	7	-6	7	-7	7	-8	7	-9	7	-10	7	-11	7	-12	7	-13	7	-14	7	-15	7	-16	7	-17	7	-18	7	-19	7	-20	7	-21	7	0	0	243.39508	243.39508	243.39508	243.39508
12	0	2	0	1	5	100	1	9	273.4397342	-3	26	-4	26	-5	26	-6	26	-7	26	-8	26	-9	26	-10	26	-11	26	-12	26	-13	26	-14	26	-15	26	-16	26	-17	26	-18	26	-19	26	-20	26	-21	26	-22	26	-23	26	0	0	273.46036	273.46036	273.46036	273.46036
12	0	2	0	1	5	100	1	19	284.8736988	-2	28	-3	28	-4	28	-5	28	-6	28	-7	28	-8	28	-9	28	-10	28	-11	28	-12	28	-13	28	-14	28	-15	28	-16	28	-17	28	-18	28	-19	28	-20	28	-21	28	-22	28	0	0	284.85172	284.85172	284.85172	284.85172
12	0	2	0	1	5	100	1	29	288.9921357	-1	29	-2	29	-3	29	-4	29	-5	29	-6	29	-7	29	-8	29	-9	29	-10	29	-11	29	-12	29	-13	29	-14	29	-15	29	-16	29	-17	29	-18	29	-19	29	-20	29	-21	29	0	0	288.93103	288.93103	288.93103	288.93103
12	0	2	0	1	5	100	3	9	354.621511	-4	13	-5	13	-6	13	-7	13	-8	13	-9	13	-10	13	-11	13	-12	13	-13	13	-14	13	-15	13	-16	13	-17	13	-18	13	-19	13	-20	13	-21	13	-22	13	-23	13	-24	13	0	0	354.66666	354.66666	354.66666	354.66666
12	0	2	0	1	5	100	3	19	377.8568895	-2	14	-3	14	-4	14	-5	14	-6	14	-7	14	-8	14	-9	14	-10	14	-11	14	-12	14	-13	14	-14	14	-15	14	-16	14	-17	14	-18	14	-19	14	-20	14	-21	14	-22	14	0	0	377.78241	377.78241	377.78241	377.78241
12	0	2	0	1	5	100	3	29	386.9553352	-2	15	-3	15	-4	15	-5	15	-6	15	-7	15	-8	15	-9	15	-10	15	-11	15	-12	15	-13	15	-14	15	-15	15	-16	15	-17	15	-18	15	-19	15	-20	15	-21	15	-22	15	0	0	386.87145	386.87145	386.87145	386.87145
12	0	2	0	1	5	100	5	9	382.5397225	-5	10	-6	10	-7	10	-8	10	-9	10	-10	10	-11	10	-12	10	-13	10	-14	10	-15	10	-16	10	-17	10	-18	10	-19	10	-20	10	-21	10	-22	10	-23	10	-24	10	-25	10	0	0	382.48801	382.48801	382.48801	382.48801
12	0	2	0	1	5	100	5	19	412.1495689	-3	10	-4	10	-5	10	-6	10	-7	10	-8	10	-9	10	-10	10	-11	10	-12	10	-13	10	-14	10	-15	10	-16	10	-17	10	-18	10	-19	10	-20	10	-21	10	-22	10	-23	10	0	0	411.92068	411.92068	411.92068	411.92068
12	0	2	0	1	5	100	5	29	424.5221429	-2	10	-3	10	-4	10	-5	10	-6	10	-7	10	-8	10	-9	10	-10	10	-11	10	-12	10	-13	10	-14	10	-15	10	-16	10	-17	10	-18	10	-19	10	-20	10	-21	10	-22	10	0	0	424.67916	424.67916	424.67916	424.67916
