N	L	T	lambda0	lambda1	lambda2	K	h	b	Cost	s	S
12	1	2	0	1	5	50	1	9	254.6198916	-2	19	
12	1	2	0	1	5	50	1	19	274.4078189	-1	20	
12	1	2	0	1	5	50	1	29	283.1179777	0	21	
12	1	2	0	1	5	50	3	9	381.2636451	-4	9	
12	1	2	0	1	5	50	3	19	422.2115597	-2	10	
12	1	2	0	1	5	50	3	29	444.2507803	-1	11	
12	1	2	0	1	5	50	5	9	446.9238905	-4	7	
12	1	2	0	1	5	50	5	19	508.1396397	-2	8	
12	1	2	0	1	5	50	5	29	539.64291	-1	8	
12	1	2	0	1	5	100	1	9	359.1205234	-3	29	
12	1	2	0	1	5	100	1	19	383.0423301	-1	31	
12	1	2	0	1	5	100	1	29	398.8771959	-1	31	
12	1	2	0	1	5	100	3	9	540.2371669	-5	14	
12	1	2	0	1	5	100	3	19	597.2288622	-2	16	
12	1	2	0	1	5	100	3	29	624.8061598	-1	17	
12	1	2	0	1	5	100	5	9	630.4821699	-6	10	
12	1	2	0	1	5	100	5	19	722.3054771	-3	11	
12	1	2	0	1	5	100	5	29	763.0338122	-2	12	
12	1	2	0	1	5	200	1	9	505.8655315	-6	56	
12	1	2	0	1	5	200	1	19	549.567942	-3	59	
12	1	2	0	1	5	200	1	29	572.3608092	-2	61	
12	1	2	0	1	5	200	3	9	755.4432229	-8	23	
12	1	2	0	1	5	200	3	19	840.4101166	-4	26	
12	1	2	0	1	5	200	3	29	879.3241267	-2	27	
12	1	2	0	1	5	200	5	9	876.346403	-10	15	
12	1	2	0	1	5	200	5	19	1025.252963	-4	16	
12	1	2	0	1	5	200	5	29	1083.178821	-3	17	
12	1	2	1	1	4	50	1	9	281.8494226	0	21	
12	1	2	1	1	4	50	1	19	305.0462074	1	23	
12	1	2	1	1	4	50	1	29	321.1618774	2	23	
12	1	2	1	1	4	50	3	9	416.9371423	-2	12	
12	1	2	1	1	4	50	3	19	477.5242844	0	13	
12	1	2	1	1	4	50	3	29	506.8521346	1	14	
12	1	2	1	1	4	50	5	9	486.2596554	-2	9	
12	1	2	1	1	4	50	5	19	578.9751762	0	10	
12	1	2	1	1	4	50	5	29	622.0345984	1	11	
12	1	2	1	1	4	100	1	9	389.1494972	-1	31	
12	1	2	1	1	4	100	1	19	420.2224717	1	33	
12	1	2	1	1	4	100	1	29	438.3215994	2	34	
12	1	2	1	1	4	100	3	9	576.2467971	-3	16	
12	1	2	1	1	4	100	3	19	664.0803185	0	19	
12	1	2	1	1	4	100	3	29	698.4720954	1	19	
12	1	2	1	1	4	100	5	9	671.2083324	-5	12	
12	1	2	1	1	4	100	5	19	794.9010137	-1	13	
12	1	2	1	1	4	100	5	29	856.8793735	0	14	
12	1	2	1	1	4	200	1	9	538.2241831	-4	58	
12	1	2	1	1	4	200	1	19	609.215648	-1	62	
12	1	2	1	1	4	200	1	29	638.7586186	0	63	
12	1	2	1	1	4	200	3	9	794.320929	-6	25	
12	1	2	1	1	4	200	3	19	905.7468265	-2	28	
12	1	2	1	1	4	200	3	29	976.2292456	-1	29	
12	1	2	1	1	4	200	5	9	924.3777978	-8	18	
12	1	2	1	1	4	200	5	19	1098.359319	-2	18	
12	1	2	1	1	4	200	5	29	1186.823261	-1	19	
12	1	2	2	1	3	50	1	9	294.7131628	2	24	
12	1	2	2	1	3	50	1	19	329.865631	4	25	
