N	L	T	lambda	K	h	b	Cost	s0	S0
30	0	0	6	100	1	9	1026.762121	2	36
30	0	1	6	100	1	9	969.1223541	-4	29
30	1	0	6	100	1	9	1068.752408	8	42
30	1	1	6	100	1	9	993.8021273	2	35
30	1	2	6	100	1	9	937.1063266	-4	29
30	2	0	6	100	1	9	1161.22911	14	50
30	2	1	6	100	1	9	1035.255732	8	43
30	2	2	6	100	1	9	961.1652178	2	35
30	3	0	6	100	1	9	1303.022621	20	57
30	3	1	6	100	1	9	1125.419537	14	51
30	3	2	6	100	1	9	1000.56911	8	44
30	4	0	6	100	1	9	1496.598059	27	63
30	4	1	6	100	1	9	1266.399551	20	57
30	4	2	6	100	1	9	1089.299739	14	50
