N	L	T	lambda	K	h	b	Cost	s0	S0
12	0	0	6	100	1	9	420.1955945	2	36
12	0	1	6	100	1	9	377.8074147	-4	30
12	1	0	6	100	1	9	449.040063	8	40
12	1	1	6	100	1	9	387.4439678	2	34
12	1	2	6	100	1	9	348.0755935	-4	27
12	2	0	6	100	1	9	533.2576595	15	44
12	2	1	6	100	1	9	418.4952204	9	37
12	2	2	6	100	1	9	357.1646715	3	31
12	3	0	6	100	1	9	672.7170751	20	48
12	3	1	6	100	1	9	504.8376984	14	42
12	3	2	6	100	1	9	390.3884519	8	35
12	4	0	6	100	1	9	851.0222375	26	70
12	4	1	6	100	1	9	631.4605526	19	64
12	4	2	6	100	1	9	465.6666315	13	57
